ticker,market,currency,price,day_chg,ytd_chg,ret_1m,ret_3m,ret_6m,ret_1y,high_52w,low_52w,from_ath,rsi,vol_ratio,ma20,ma50,ma200,score,name
6343.T,JP,JPY,167.0,-0.6,-0.85,-4.79,-7.42,22.31,78.27,213.27,93.68,-21.7,45.2,1.49,169.9,181.03,150.23,2,6343.T
8801.T,JP,JPY,1704.0,-1.73,-2.78,1.19,-5.06,4.89,23.17,2126.04,1284.46,-19.85,56.8,0.62,1719.2,1845.6,1678.24,2,8801.T
4658.T,JP,JPY,1503.0,-4.57,18.47,-0.53,2.46,25.77,56.21,1680.74,961.22,-10.58,39.6,3.12,1571.45,1556.98,1307.36,2,4658.T
6335.T,JP,JPY,484.0,-2.62,-3.78,-3.59,-8.51,2.54,27.37,690.0,371.0,-29.86,52.6,0.36,486.6,505.6,476.89,2,6335.T
6328.T,JP,JPY,2393.0,0.04,11.56,-4.81,2.88,9.57,39.01,2960.0,1554.2,-19.16,41.5,0.84,2472.35,2604.86,2224.42,2,6328.T
7486.T,JP,JPY,745.0,-0.93,-1.79,-0.13,-1.92,9.54,15.46,900.04,638.46,-17.23,48.3,0.68,745.3,761.09,712.7,2,7486.T
7477.T,JP,JPY,1719.0,0.88,17.88,-7.88,-7.73,52.94,40.12,2424.0,1115.04,-29.08,43.3,0.21,1933.85,1878.0,1480.0,2,7477.T
2579.T,JP,JPY,3406.0,0.95,7.68,-6.81,1.34,36.63,31.07,4201.0,2205.76,-18.92,48.7,0.61,3504.35,3774.68,3004.15,2,2579.T
4631.T,JP,JPY,3606.0,-0.52,-0.66,-4.25,-4.53,4.09,42.78,4624.0,2525.51,-22.02,43.5,0.91,3708.65,3951.16,3560.87,2,4631.T
4626.T,JP,JPY,4800.0,1.16,-0.81,-6.23,-5.83,26.48,111.65,6096.0,2267.84,-21.26,58.8,0.44,4789.15,5108.16,4385.1,2,4626.T
8804.T,JP,JPY,3567.0,-0.92,1.08,-3.83,-2.27,24.21,45.75,4374.0,2402.86,-18.45,43.7,1.22,3685.25,3879.16,3255.29,2,8804.T
3837.T,JP,JPY,1487.0,-0.87,-5.65,0.95,-7.55,15.14,54.11,1864.56,962.93,-20.25,46.5,0.55,1499.55,1572.43,1456.09,2,3837.T
